time,open,high,low,close
1778013840,7296.25,7296.5,7295.5,7295.5
1778013900,7295.5,7295.5,7294.5,7294.75
1778013960,7294.75,7295.25,7293.75,7294
1778014020,7294,7294,7293.5,7293.5
1778014080,7293.5,7294,7293,7293.75
1778014140,7294,7294,7293,7293
1778014200,7293,7293.5,7292.75,7293
1778014260,7293.25,7294.25,7293,7294.25
1778014320,7294.5,7294.75,7293.5,7293.5
1778014380,7293.5,7294.5,7293.5,7294
1778014440,7294.25,7294.75,7293.75,7294
1778014500,7293.75,7295.5,7293.5,7295.5
1778014560,7295.25,7295.25,7294.5,7295
1778014620,7294.75,7297.5,7294.25,7296.25
1778014680,7296.5,7296.5,7294.75,7295.75
1778014740,7295.75,7296.25,7295.5,7295.5
1778018400,7300.5,7301.25,7294.5,7295
1778018460,7295.5,7297,7294.75,7296.75
1778018520,7296.75,7297,7295.75,7296.25
1778018580,7295.75,7297,7295.75,7296.5
1778018640,7296.5,7296.5,7295.5,7296.25
1778018700,7296.5,7297,7295.75,7296.75
1778018760,7296.75,7298,7296,7296.75
1778018820,7297,7297,7296,7296.75
1778018880,7296.75,7296.75,7295.75,7296.75
1778018940,7296.75,7297.5,7296,7296.5
1778019000,7296.75,7296.75,7295.75,7296.5
1778019060,7296.25,7296.25,7295.25,7295.25
1778019120,7295.5,7295.5,7295,7295
1778019180,7295.5,7295.5,7294,7295
1778019240,7295,7295.25,7294.5,7294.75
1778019300,7295,7295,7293.5,7294
1778019360,7294,7294.5,7293.75,7294.25
1778019420,7294.25,7295,7294.25,7295
1778019480,7295,7295,7294.5,7295
1778019540,7294.75,7295,7294.5,7294.75
1778019600,7294.5,7295.75,7294.5,7295.5
1778019660,7295.25,7295.5,7295,7295.25
1778019720,7295.25,7296,7295.25,7295.5
1778019780,7295.5,7296.25,7295.5,7296
1778019840,7296.25,7296.5,7295.75,7296.5
1778019900,7296.5,7296.75,7295.75,7295.75
1778019960,7295.75,7296.25,7295,7295.5
1778020020,7295.5,7296.5,7295.25,7295.75
1778020080,7295.75,7296.25,7295.25,7296.25
1778020140,7296,7296.25,7296,7296.25
1778020200,7296.5,7297.25,7296,7296.75
1778020260,7296.75,7297.5,7296.75,7297.5
1778020320,7297.5,7298,7297,7297.25
1778020380,7297.5,7297.75,7297.25,7297.5
1778020440,7297.25,7297.5,7297,7297
1778020500,7297,7297.75,7296.5,7297.25
1778020560,7297.5,7298,7297.25,7297.75
1778020620,7298,7298.75,7297.75,7298.5
1778020680,7298.25,7299.25,7298,7299.25
1778020740,7299,7299,7298.25,7298.75
1778020800,7298.75,7299.75,7298.75,7299.75
1778020860,7299.5,7300,7298.5,7298.75
1778020920,7299,7299.5,7298.75,7299.25
1778020980,7299,7299.25,7298.75,7299.25
1778021040,7299.25,7299.5,7298.75,7299
1778021100,7299,7300.25,7299,7299.5
1778021160,7299.5,7299.5,7299,7299.25
1778021220,7299,7299.25,7298.5,7298.75
1778021280,7299,7299.5,7299,7299.25
1778021340,7299.5,7300,7299,7299.75
1778021400,7299.75,7300.25,7299.25,7299.5
1778021460,7299.5,7299.75,7299.5,7299.5
1778021520,7299.5,7320,7299.5,7316.75
1778021580,7316.75,7317.75,7306.75,7308
1778021640,7308,7314,7306.25,7313.5
1778021700,7313.75,7318.5,7312.5,7318.5
1778021760,7318.25,7319,7316.25,7318.25
1778021820,7318.25,7318.25,7314.25,7315.75
1778021880,7315.75,7317.25,7314.5,7315.25
1778021940,7315,7317.75,7313.5,7316.75
1778022000,7316.75,7319,7316.25,7316.75
1778022060,7316.5,7317,7313.5,7314.75
1778022120,7314.5,7315.25,7312.25,7313
1778022180,7312.75,7314.75,7312.5,7313.75
1778022240,7313.75,7316.25,7313.25,7316
1778022300,7316,7317,7313.25,7314.25
1778022360,7314.5,7314.75,7313.25,7314.25
1778022420,7314,7315.75,7314,7315
1778022480,7315,7315.5,7313.75,7315
1778022540,7315.25,7315.75,7314.25,7315.75
1778022600,7315.75,7317.5,7315.75,7317.25
1778022660,7317,7317.5,7316.5,7316.5
1778022720,7316.5,7318.5,7316.5,7317.75
1778022780,7318,7319,7317.75,7318.25
1778022840,7318.25,7319,7318.25,7318.75
1778022900,7319,7319.25,7317,7317.75
1778022960,7317.75,7318.5,7317,7317
1778023020,7317,7317.75,7316.5,7316.75
1778023080,7317,7317.75,7317,7317.75
